policy,delay_steps,delay_ms,delay_mode,success_rate_pct,success_std_pct,mean_episode_length,track_lin_vel_xy_exp,mean_episode_return
step0_official,0,0,fixed,100.0,0.0,2000.0,0.4099,114.91
step0_official,1,20,fixed,100.0,0.0,2000.0,0.391,88.46
step0_official,2,40,fixed,0.0,0.0,106.4,0.0082,-8.72
step0_official,3,60,fixed,0.0,0.0,69.5,0.0047,-8.71
step0_official,4,80,fixed,0.0,0.0,61.5,0.0028,-8.34
step0_official,5,100,fixed,0.0,0.0,51.8,0.0019,-7.82
step0_official,6,120,fixed,0.0,0.0,52.7,0.0024,-8.37
step0_official,7,140,fixed,0.0,0.0,52.0,0.002,-7.79
step0_official,8,160,fixed,0.0,0.0,56.0,0.0018,-8.47
nominal,0,0,fixed,100.0,0.0,2000.0,0.5429,119.34
nominal,1,20,fixed,100.0,0.0,2000.0,0.6162,98.15
nominal,2,40,fixed,0.0,0.0,154.3,0.0181,-8.02
nominal,3,60,fixed,0.0,0.0,86.9,0.0066,-8.39
nominal,4,80,fixed,0.0,0.0,63.6,0.0044,-8.19
nominal,5,100,fixed,0.0,0.0,54.5,0.0044,-8.16
nominal,6,120,fixed,0.0,0.0,50.3,0.0029,-8.13
nominal,7,140,fixed,0.0,0.0,48.3,0.0035,-8.05
nominal,8,160,fixed,0.0,0.0,48.7,0.0032,-8.15
strong,0,0,fixed,100.0,0.0,2000.0,0.3979,103.82
strong,1,20,fixed,100.0,0.0,2000.0,0.4291,102.82
strong,2,40,fixed,100.0,0.0,2000.0,0.418,98.97
strong,3,60,fixed,100.0,0.0,2000.0,0.3999,94.55
strong,4,80,fixed,100.0,0.0,2000.0,0.4003,90.4
strong,5,100,fixed,97.9,3.6,1960.3,0.3802,85.55
strong,6,120,fixed,95.8,4.8,1919.7,0.3012,81.16
strong,7,140,fixed,77.3,9.6,1569.1,0.175,57.74
strong,8,160,fixed,65.6,10.7,1427.6,0.1466,39.26
comp,0,0,fixed,100.0,0.0,2000.0,0.5467,117.93
comp,1,20,fixed,100.0,0.0,2000.0,0.547,115.69
comp,2,40,fixed,100.0,0.0,2000.0,0.5303,111.67
comp,3,60,fixed,100.0,0.0,2000.0,0.509,107.57
comp,4,80,fixed,100.0,0.0,2000.0,0.4872,103.82
comp,5,100,fixed,100.0,0.0,2000.0,0.4526,99.51
comp,6,120,fixed,99.0,1.8,1980.2,0.4295,94.13
comp,7,140,fixed,95.0,6.1,1905.2,0.3277,84.17
comp,8,160,fixed,75.9,11.9,1550.6,0.2313,56.04
