step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,-1.036807894706726,0.21711595356464386,-0.40966281294822693,0.5814534425735474,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
1,0.02,1.0,0.0,-1.0434657335281372,0.15585647523403168,-0.4409131705760956,0.8359399437904358,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
2,0.04,1.0,0.0,-1.0534651279449463,0.10893864929676056,-0.44716688990592957,1.0689849853515625,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
3,0.06,1.0,0.0,-1.063903570175171,0.09261461347341537,-0.44841697812080383,0.9621803760528564,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
4,0.08,1.0,0.0,-1.0701673030853271,0.035125017166137695,-0.4173814058303833,0.5240327715873718,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
5,0.1,1.0,0.0,-1.0748525857925415,-0.06873921304941177,-0.36344289779663086,0.03895905986428261,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
6,0.12,1.0,0.0,-1.080039381980896,-0.04068557173013687,-0.28757017850875854,1.0353927612304688,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
7,0.14,1.0,0.0,-1.0855629444122314,0.042101163417100906,-0.2838728725910187,0.3138101100921631,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
8,0.16,1.0,0.0,-1.086536169052124,0.08559924364089966,-0.30203908681869507,0.04520069807767868,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
9,0.18,1.0,0.0,-1.0790671110153198,0.10756626725196838,-0.3357144594192505,-0.8509706258773804,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
10,0.2,1.0,0.0,-1.0662686824798584,0.10335680842399597,-0.36760151386260986,-1.0222012996673584,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
11,0.22,1.0,0.0,-1.0549569129943848,0.1012117862701416,-0.3953542411327362,-0.5942705273628235,0,2000,comp,4,80,42,1.0,0.0,walk_delay_comp
