step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,0.21345865726470947,0.6041470170021057,-0.3534685969352722,-1.3821609020233154,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
1,0.02,1.0,0.0,0.22795498371124268,0.5831928849220276,-0.25891023874282837,-1.5871760845184326,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
2,0.04,1.0,0.0,0.2544480562210083,0.5442702174186707,-0.21680134534835815,-2.5372655391693115,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
3,0.06,1.0,0.0,0.28059518337249756,0.5512627363204956,-0.1857544630765915,-1.5575872659683228,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
4,0.08,1.0,0.0,0.2929624319076538,0.5782051086425781,-0.2823779582977295,-0.6737073063850403,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
5,0.1,1.0,0.0,0.30619072914123535,0.6716895699501038,-0.3447139263153076,-1.4972659349441528,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
6,0.12,1.0,0.0,0.32156288623809814,0.7087178826332092,-0.3368258476257324,-1.3786561489105225,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
7,0.14,1.0,0.0,0.33608710765838623,0.7692139744758606,-0.3351082503795624,-1.3249706029891968,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
8,0.16,1.0,0.0,0.34725701808929443,0.8301479816436768,-0.3380066752433777,-0.9141725897789001,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
9,0.18,1.0,0.0,0.35342228412628174,0.9012269973754883,-0.35719001293182373,-0.4122346043586731,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
10,0.2,1.0,0.0,0.35319674015045166,0.9493358135223389,-0.37787237763404846,0.09839833527803421,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
11,0.22,1.0,0.0,0.3499494791030884,0.9962876439094543,-0.4107096195220947,0.2616792619228363,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
12,0.24,1.0,0.0,0.344035267829895,1.0390973091125488,-0.46278271079063416,0.6732243299484253,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
13,0.26,1.0,0.0,0.33665454387664795,1.110297441482544,-0.5245054960250854,0.49846482276916504,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
14,0.28,1.0,0.0,0.3306410312652588,1.1485381126403809,-0.5778687000274658,0.40295353531837463,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
15,0.3,1.0,0.0,0.3278231620788574,1.090545415878296,-0.5735719203948975,-0.4364542067050934,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
16,0.32,1.0,0.0,0.3271235227584839,0.9521518349647522,-0.45857125520706177,0.38954946398735046,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
17,0.34,1.0,0.0,0.3208204507827759,0.7856981158256531,-0.3377091884613037,0.5854400992393494,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
18,0.36,1.0,0.0,0.3176630735397339,0.6610519886016846,-0.2446795105934143,-0.2013320028781891,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
19,0.38,1.0,0.0,0.32001006603240967,0.598897397518158,-0.1983940303325653,-0.3755509853363037,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
20,0.4,1.0,0.0,0.3252474069595337,0.5732917189598083,-0.18783263862133026,-0.6072800755500793,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
21,0.42,1.0,0.0,0.3318847417831421,0.5668227076530457,-0.1888079047203064,-0.7302799224853516,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
22,0.44,1.0,0.0,0.3374509811401367,0.5570498108863831,-0.18063382804393768,-0.777694046497345,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
23,0.46,1.0,0.0,0.3413432836532593,0.5453974604606628,-0.15166816115379333,-0.507893979549408,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
24,0.48,1.0,0.0,0.34153544902801514,0.528721809387207,-0.12249935418367386,-0.01890886202454567,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
25,0.5,1.0,0.0,0.33730971813201904,0.5078281164169312,-0.09752102941274643,0.3152567148208618,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
26,0.52,1.0,0.0,0.3299659490585327,0.4928467869758606,-0.07762332260608673,0.5918592214584351,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
27,0.54,1.0,0.0,0.32197439670562744,0.48916155099868774,-0.06910470128059387,0.579258143901825,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
28,0.56,1.0,0.0,0.31498825550079346,0.4856375753879547,-0.05405527353286743,0.4670037627220154,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
29,0.58,1.0,0.0,0.3097800016403198,0.49131277203559875,-0.04198693856596947,0.3181002736091614,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
30,0.6,1.0,0.0,0.3070565462112427,0.5058078169822693,-0.032957907766103745,0.10836911201477051,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
31,0.62,1.0,0.0,0.30598318576812744,0.5065581202507019,-0.014085093513131142,-0.1169070303440094,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
32,0.64,1.0,0.0,0.30739855766296387,0.5117433071136475,0.0025285303127020597,-0.14870969951152802,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
33,0.66,1.0,0.0,0.3096294403076172,0.520405113697052,0.021858246996998787,-0.18978740274906158,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
34,0.68,1.0,0.0,0.31248199939727783,0.5323874950408936,0.044080015271902084,-0.18879128992557526,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
35,0.7000000000000001,1.0,0.0,0.3150428533554077,0.5511792898178101,0.07314393669366837,-0.11845774948596954,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
36,0.72,1.0,0.0,0.3162267208099365,0.5695988535881042,0.10606424510478973,0.03945811837911606,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
37,0.74,1.0,0.0,0.3166322708129883,0.5830204486846924,0.13657067716121674,0.11609918624162674,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
38,0.76,1.0,0.0,0.31624412536621094,0.5864400267601013,0.17210742831230164,0.16649194061756134,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
39,0.78,1.0,0.0,0.31570255756378174,0.5884653329849243,0.20712625980377197,0.1266150027513504,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
40,0.8,1.0,0.0,0.31552207469940186,0.5925639867782593,0.23989909887313843,0.09992688149213791,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
41,0.8200000000000001,1.0,0.0,0.31540119647979736,0.6066989302635193,0.2716900408267975,0.09863381832838058,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
42,0.84,1.0,0.0,0.31593167781829834,0.6188637614250183,0.2976015508174896,0.03861670941114426,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
43,0.86,1.0,0.0,0.3191157579421997,0.5467597246170044,0.25818055868148804,-0.4974677264690399,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
44,0.88,1.0,0.0,0.32475924491882324,0.4882616698741913,0.1872321367263794,-0.31311240792274475,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
45,0.9,1.0,0.0,0.32820022106170654,0.456740140914917,0.15044443309307098,-0.006781978067010641,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
46,0.92,1.0,0.0,0.32822728157043457,0.43775784969329834,0.1252930462360382,0.33216726779937744,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
47,0.9400000000000001,1.0,0.0,0.32631492614746094,0.435373991727829,0.10277702659368515,0.4474889636039734,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
48,0.96,1.0,0.0,0.3235267400741577,0.4376223087310791,0.08230657130479813,0.4572640359401703,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
49,0.98,1.0,0.0,0.32078003883361816,0.43893441557884216,0.06314011663198471,0.4089353680610657,0,2000,history20,0,0,42,1.0,0.0,walk_history_ablation
