step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,-1.020255208015442,0.1907009482383728,-0.44829800724983215,-1.3874691724777222,1,62,nominal,4,80,42,1.0,0.0,walk
1,0.02,1.0,0.0,-1.0098069906234741,0.17893880605697632,-0.4315200746059418,-0.8564450740814209,1,62,nominal,4,80,42,1.0,0.0,walk
2,0.04,1.0,0.0,-1.001935601234436,0.16508780419826508,-0.43465593457221985,-0.7973823547363281,1,62,nominal,4,80,42,1.0,0.0,walk
3,0.06,1.0,0.0,-0.9945595264434814,0.1596456915140152,-0.4312927722930908,-0.7105880975723267,1,62,nominal,4,80,42,1.0,0.0,walk
4,0.08,1.0,0.0,-0.9882029294967651,0.15992912650108337,-0.43215957283973694,-0.5534903407096863,1,62,nominal,4,80,42,1.0,0.0,walk
5,0.1,1.0,0.0,-0.9786794185638428,0.18783046305179596,-0.46276846528053284,-0.777080774307251,1,62,nominal,4,80,42,1.0,0.0,walk
6,0.12,1.0,0.0,-0.9693462252616882,0.1772756725549698,-0.47574010491371155,0.011922611854970455,1,62,nominal,4,80,42,1.0,0.0,walk
7,0.14,1.0,0.0,-0.9627453684806824,0.36088162660598755,-0.5120317339897156,-0.7701478004455566,1,62,nominal,4,80,42,1.0,0.0,walk
8,0.16,1.0,0.0,-0.9598655700683594,0.5544652342796326,-0.5290578603744507,0.33309900760650635,1,62,nominal,4,80,42,1.0,0.0,walk
9,0.18,1.0,0.0,-0.9700837731361389,0.6790510416030884,-0.5617148876190186,1.655470371246338,1,62,nominal,4,80,42,1.0,0.0,walk
10,0.2,1.0,0.0,-0.9909073114395142,0.7198067307472229,-0.5889511108398438,2.241671085357666,1,62,nominal,4,80,42,1.0,0.0,walk
11,0.22,1.0,0.0,-1.013636827468872,0.7251025438308716,-0.6235727667808533,2.1715235710144043,1,62,nominal,4,80,42,1.0,0.0,walk
12,0.24,1.0,0.0,-1.0373471975326538,0.7295616865158081,-0.6568062901496887,2.478149652481079,1,62,nominal,4,80,42,1.0,0.0,walk
13,0.26,1.0,0.0,-1.0595773458480835,0.7043141722679138,-0.6903411149978638,2.0083281993865967,1,62,nominal,4,80,42,1.0,0.0,walk
14,0.28,1.0,0.0,-1.0689198970794678,0.7148082256317139,-0.72447669506073,0.22829166054725647,1,62,nominal,4,80,42,1.0,0.0,walk
15,0.3,1.0,0.0,-1.0639764070510864,0.7369468808174133,-0.7319227457046509,-1.064338207244873,1,62,nominal,4,80,42,1.0,0.0,walk
16,0.32,1.0,0.0,-1.0460765361785889,0.8460404872894287,-0.7206113338470459,-2.397162914276123,1,62,nominal,4,80,42,1.0,0.0,walk
17,0.34,1.0,0.0,-1.017738699913025,0.9735831022262573,-0.6897760033607483,-3.24129581451416,1,62,nominal,4,80,42,1.0,0.0,walk
18,0.36,1.0,0.0,-0.9898732900619507,1.0260303020477295,-0.6326450705528259,-2.135399103164673,1,62,nominal,4,80,42,1.0,0.0,walk
19,0.38,1.0,0.0,-0.9918462038040161,0.8652365207672119,-0.5676201581954956,1.8426566123962402,1,62,nominal,4,80,42,1.0,0.0,walk
20,0.4,1.0,0.0,-1.027221441268921,0.631910502910614,-0.526740312576294,3.9588563442230225,1,62,nominal,4,80,42,1.0,0.0,walk
21,0.42,1.0,0.0,-1.0670108795166016,0.3947645425796509,-0.5287861824035645,3.063950538635254,1,62,nominal,4,80,42,1.0,0.0,walk
22,0.44,1.0,0.0,-1.0902570486068726,0.2364509105682373,-0.5565618276596069,1.359151840209961,1,62,nominal,4,80,42,1.0,0.0,walk
23,0.46,1.0,0.0,-1.09251070022583,0.1577000766992569,-0.6275148987770081,-0.5592390298843384,1,62,nominal,4,80,42,1.0,0.0,walk
24,0.48,1.0,0.0,-1.078222393989563,0.18058983981609344,-0.6621609330177307,-1.7119883298873901,1,62,nominal,4,80,42,1.0,0.0,walk
25,0.5,1.0,0.0,-1.059008240699768,0.2720792889595032,-0.6389850378036499,-1.7747701406478882,1,62,nominal,4,80,42,1.0,0.0,walk
26,0.52,1.0,0.0,-1.0462244749069214,0.354838103055954,-0.6347364187240601,-0.9501910209655762,1,62,nominal,4,80,42,1.0,0.0,walk
27,0.54,1.0,0.0,-1.0431206226348877,0.4027380347251892,-0.6525686979293823,0.0037137120962142944,1,62,nominal,4,80,42,1.0,0.0,walk
28,0.56,1.0,0.0,-1.0527616739273071,0.3870849907398224,-0.6832208633422852,1.2851628065109253,1,62,nominal,4,80,42,1.0,0.0,walk
29,0.58,1.0,0.0,-1.0726603269577026,0.3222086727619171,-0.7224359512329102,2.0923736095428467,1,62,nominal,4,80,42,1.0,0.0,walk
30,0.6,1.0,0.0,-1.0920825004577637,0.2197968065738678,-0.7437565922737122,1.4560770988464355,1,62,nominal,4,80,42,1.0,0.0,walk
31,0.62,1.0,0.0,-1.0973384380340576,0.14744798839092255,-0.7528881430625916,-0.32060879468917847,1,62,nominal,4,80,42,1.0,0.0,walk
32,0.64,1.0,0.0,-1.0831129550933838,0.1493290364742279,-0.7525632977485657,-2.0972015857696533,1,62,nominal,4,80,42,1.0,0.0,walk
33,0.66,1.0,0.0,-1.055359125137329,0.23533254861831665,-0.7511765360832214,-2.89628267288208,1,62,nominal,4,80,42,1.0,0.0,walk
34,0.68,1.0,0.0,-1.026252269744873,0.3749806582927704,-0.7656941413879395,-2.391171455383301,1,62,nominal,4,80,42,1.0,0.0,walk
35,0.7000000000000001,1.0,0.0,-1.008411169052124,0.5151786804199219,-0.8063988089561462,-0.9256778359413147,1,62,nominal,4,80,42,1.0,0.0,walk
36,0.72,1.0,0.0,-1.0079278945922852,0.6179488897323608,-0.8700515627861023,0.6801924109458923,1,62,nominal,4,80,42,1.0,0.0,walk
37,0.74,1.0,0.0,-1.0210907459259033,0.673427939414978,-0.9289559721946716,1.5939801931381226,1,62,nominal,4,80,42,1.0,0.0,walk
