step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,-1.0274837017059326,0.2126932144165039,-0.4277842342853546,-0.7740506529808044,0,2000,strong,4,80,42,1.0,0.0,walk
1,0.02,1.0,0.0,-1.0182524919509888,0.18917489051818848,-0.4365586042404175,-0.6332105994224548,0,2000,strong,4,80,42,1.0,0.0,walk
2,0.04,1.0,0.0,-1.016411542892456,0.1544649302959442,-0.44063523411750793,0.08096683025360107,0,2000,strong,4,80,42,1.0,0.0,walk
3,0.06,1.0,0.0,-1.0185242891311646,0.14259740710258484,-0.4417971968650818,0.23196516931056976,0,2000,strong,4,80,42,1.0,0.0,walk
4,0.08,1.0,0.0,-1.0180500745773315,0.07772687822580338,-0.3973323702812195,-0.302564799785614,0,2000,strong,4,80,42,1.0,0.0,walk
5,0.1,1.0,0.0,-1.022701621055603,0.05919812247157097,-0.33642780780792236,0.7821590900421143,0,2000,strong,4,80,42,1.0,0.0,walk
6,0.12,1.0,0.0,-1.0267517566680908,0.09470228105783463,-0.3645467758178711,0.04670833796262741,0,2000,strong,4,80,42,1.0,0.0,walk
7,0.14,1.0,0.0,-1.0207710266113281,0.08399344980716705,-0.41288307309150696,-0.6427890062332153,0,2000,strong,4,80,42,1.0,0.0,walk
8,0.16,1.0,0.0,-1.014561414718628,0.09914149343967438,-0.4536028802394867,-0.24562190473079681,0,2000,strong,4,80,42,1.0,0.0,walk
9,0.18,1.0,0.0,-1.0077269077301025,0.1418548971414566,-0.5059102177619934,-0.5047978162765503,0,2000,strong,4,80,42,1.0,0.0,walk
10,0.2,1.0,0.0,-0.9995898008346558,0.18607482314109802,-0.5626214146614075,-0.4150940477848053,0,2000,strong,4,80,42,1.0,0.0,walk
11,0.22,1.0,0.0,-0.9948775768280029,0.2657410204410553,-0.5978595018386841,-0.131064310669899,0,2000,strong,4,80,42,1.0,0.0,walk
12,0.24,1.0,0.0,-0.9937902092933655,0.3251821994781494,-0.6308780312538147,0.16511912643909454,0,2000,strong,4,80,42,1.0,0.0,walk
13,0.26,1.0,0.0,-0.9970885515213013,0.3626965880393982,-0.6346184611320496,0.4402727484703064,0,2000,strong,4,80,42,1.0,0.0,walk
14,0.28,1.0,0.0,-0.9995514154434204,0.37135836482048035,-0.6612823009490967,0.11365105956792831,0,2000,strong,4,80,42,1.0,0.0,walk
15,0.3,1.0,0.0,-1.0000557899475098,0.40711256861686707,-0.6779270172119141,-0.11782120168209076,0,2000,strong,4,80,42,1.0,0.0,walk
16,0.32,1.0,0.0,-0.9987025260925293,0.4416384994983673,-0.7065749764442444,-0.3217849135398865,0,2000,strong,4,80,42,1.0,0.0,walk
17,0.34,1.0,0.0,-0.9910452365875244,0.4887543022632599,-0.7407753467559814,-1.2572747468948364,0,2000,strong,4,80,42,1.0,0.0,walk
18,0.36,1.0,0.0,-0.979736328125,0.5210956335067749,-0.7737423777580261,-1.3979520797729492,0,2000,strong,4,80,42,1.0,0.0,walk
19,0.38,1.0,0.0,-0.9734703898429871,0.5229672193527222,-0.80253005027771,-0.5830716490745544,0,2000,strong,4,80,42,1.0,0.0,walk
20,0.4,1.0,0.0,-0.9735981225967407,0.5127764344215393,-0.8524371981620789,0.012897945009171963,0,2000,strong,4,80,42,1.0,0.0,walk
21,0.42,1.0,0.0,-0.9729164838790894,0.42727914452552795,-0.847614049911499,-0.06966519355773926,0,2000,strong,4,80,42,1.0,0.0,walk
22,0.44,1.0,0.0,-0.9763427376747131,0.3649270236492157,-0.7132532000541687,0.7402190566062927,0,2000,strong,4,80,42,1.0,0.0,walk
23,0.46,1.0,0.0,-0.981317400932312,0.3269481062889099,-0.5996940732002258,0.47590360045433044,0,2000,strong,4,80,42,1.0,0.0,walk
24,0.48,1.0,0.0,-0.9821323752403259,0.33833643794059753,-0.5138332843780518,-0.15997181832790375,0,2000,strong,4,80,42,1.0,0.0,walk
25,0.5,1.0,0.0,-0.977372407913208,0.3760524094104767,-0.45051348209381104,-0.7937729358673096,0,2000,strong,4,80,42,1.0,0.0,walk
26,0.52,1.0,0.0,-0.9661586880683899,0.4121265411376953,-0.42310237884521484,-1.5918567180633545,0,2000,strong,4,80,42,1.0,0.0,walk
27,0.54,1.0,0.0,-0.9537359476089478,0.4250364303588867,-0.3895457684993744,-1.349429965019226,0,2000,strong,4,80,42,1.0,0.0,walk
28,0.56,1.0,0.0,-0.9464991688728333,0.4256320893764496,-0.3642526865005493,-0.6700849533081055,0,2000,strong,4,80,42,1.0,0.0,walk
29,0.58,1.0,0.0,-0.9454123377799988,0.4057637155056,-0.3573720157146454,-0.11396157741546631,0,2000,strong,4,80,42,1.0,0.0,walk
30,0.6,1.0,0.0,-0.9483567476272583,0.3773944079875946,-0.35991576313972473,0.24908532202243805,0,2000,strong,4,80,42,1.0,0.0,walk
31,0.62,1.0,0.0,-0.9548012018203735,0.345785915851593,-0.36401990056037903,0.6130914688110352,0,2000,strong,4,80,42,1.0,0.0,walk
32,0.64,1.0,0.0,-0.9633573889732361,0.31968116760253906,-0.3609941005706787,0.7780290842056274,0,2000,strong,4,80,42,1.0,0.0,walk
33,0.66,1.0,0.0,-0.9724112749099731,0.3024538457393646,-0.35233432054519653,0.7510745525360107,0,2000,strong,4,80,42,1.0,0.0,walk
34,0.68,1.0,0.0,-0.9799275398254395,0.2915787100791931,-0.33956360816955566,0.46088168025016785,0,2000,strong,4,80,42,1.0,0.0,walk
35,0.7000000000000001,1.0,0.0,-0.9836809635162354,0.2925476133823395,-0.32976317405700684,0.07808637619018555,0,2000,strong,4,80,42,1.0,0.0,walk
36,0.72,1.0,0.0,-0.9827280044555664,0.3178393840789795,-0.32444822788238525,-0.3258228302001953,0,2000,strong,4,80,42,1.0,0.0,walk
37,0.74,1.0,0.0,-0.978390097618103,0.3583448529243469,-0.3194335699081421,-0.5452375411987305,0,2000,strong,4,80,42,1.0,0.0,walk
38,0.76,1.0,0.0,-0.9720065593719482,0.4074278771877289,-0.31668293476104736,-0.6555986404418945,0,2000,strong,4,80,42,1.0,0.0,walk
39,0.78,1.0,0.0,-0.9646568298339844,0.4574531316757202,-0.31509846448898315,-0.6706523895263672,0,2000,strong,4,80,42,1.0,0.0,walk
40,0.8,1.0,0.0,-0.9570668935775757,0.5006845593452454,-0.3147693872451782,-0.6276072859764099,0,2000,strong,4,80,42,1.0,0.0,walk
41,0.8200000000000001,1.0,0.0,-0.9505591988563538,0.5323067307472229,-0.3096306324005127,-0.4664047956466675,0,2000,strong,4,80,42,1.0,0.0,walk
42,0.84,1.0,0.0,-0.9458054900169373,0.5534254312515259,-0.30390849709510803,-0.3023848533630371,0,2000,strong,4,80,42,1.0,0.0,walk
43,0.86,1.0,0.0,-0.9426579475402832,0.5757901072502136,-0.2977260649204254,-0.16282115876674652,0,2000,strong,4,80,42,1.0,0.0,walk
