step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,0.0,0.4000000059604645,0.216253399848938,0.5945387482643127,-0.3645583689212799,-1.4217405319213867,0,2000,strong30k,0,0,42,0.0,0.4,walk
1,0.02,0.0,0.4000000059604645,0.22718942165374756,0.6651492118835449,-0.32766076922416687,-1.506245493888855,0,2000,strong30k,0,0,42,0.0,0.4,walk
2,0.04,0.0,0.4000000059604645,0.24201536178588867,0.685732901096344,-0.2612297534942627,-1.24820876121521,0,2000,strong30k,0,0,42,0.0,0.4,walk
3,0.06,0.0,0.4000000059604645,0.24904370307922363,0.6656144857406616,-0.22694934904575348,-0.19016090035438538,0,2000,strong30k,0,0,42,0.0,0.4,walk
4,0.08,0.0,0.4000000059604645,0.2518962621688843,0.6254754066467285,-0.09118302166461945,0.1133127510547638,0,2000,strong30k,0,0,42,0.0,0.4,walk
5,0.1,0.0,0.4000000059604645,0.2505282163619995,0.5892587304115295,-0.0988151952624321,0.3927954435348511,0,2000,strong30k,0,0,42,0.0,0.4,walk
6,0.12,0.0,0.4000000059604645,0.2477647066116333,0.5101404786109924,-0.13137204945087433,0.8155622482299805,0,2000,strong30k,0,0,42,0.0,0.4,walk
7,0.14,0.0,0.4000000059604645,0.2448749542236328,0.5191177129745483,-0.2076064497232437,0.32272449135780334,0,2000,strong30k,0,0,42,0.0,0.4,walk
8,0.16,0.0,0.4000000059604645,0.24580121040344238,0.5696132779121399,-0.27187952399253845,-0.07496081292629242,0,2000,strong30k,0,0,42,0.0,0.4,walk
9,0.18,0.0,0.4000000059604645,0.25040149688720703,0.6135896444320679,-0.3220047354698181,-0.47999951243400574,0,2000,strong30k,0,0,42,0.0,0.4,walk
10,0.2,0.0,0.4000000059604645,0.2566056251525879,0.6417340040206909,-0.34161752462387085,-0.5384843349456787,0,2000,strong30k,0,0,42,0.0,0.4,walk
11,0.22,0.0,0.4000000059604645,0.2638002634048462,0.6836509108543396,-0.3652694523334503,-0.6878510117530823,0,2000,strong30k,0,0,42,0.0,0.4,walk
12,0.24,0.0,0.4000000059604645,0.27047622203826904,0.7330922484397888,-0.39214983582496643,-0.5461091995239258,0,2000,strong30k,0,0,42,0.0,0.4,walk
13,0.26,0.0,0.4000000059604645,0.277948260307312,0.784686267375946,-0.426262766122818,-0.7579385638237,0,2000,strong30k,0,0,42,0.0,0.4,walk
14,0.28,0.0,0.4000000059604645,0.28408563137054443,0.8376887440681458,-0.4407632350921631,-0.5378308892250061,0,2000,strong30k,0,0,42,0.0,0.4,walk
15,0.3,0.0,0.4000000059604645,0.28891825675964355,0.8867068290710449,-0.46415606141090393,-0.5589544773101807,0,2000,strong30k,0,0,42,0.0,0.4,walk
16,0.32,0.0,0.4000000059604645,0.2918335199356079,0.9320544004440308,-0.4903907775878906,-0.4386247992515564,0,2000,strong30k,0,0,42,0.0,0.4,walk
17,0.34,0.0,0.4000000059604645,0.2918943166732788,0.9575883150100708,-0.5365654826164246,-0.07316293567419052,0,2000,strong30k,0,0,42,0.0,0.4,walk
18,0.36,0.0,0.4000000059604645,0.28904950618743896,0.9363023042678833,-0.5354977250099182,0.5297920107841492,0,2000,strong30k,0,0,42,0.0,0.4,walk
19,0.38,0.0,0.4000000059604645,0.28700685501098633,0.7175513505935669,-0.3517940938472748,0.3750952184200287,0,2000,strong30k,0,0,42,0.0,0.4,walk
20,0.4,0.0,0.4000000059604645,0.2827742099761963,0.6066082715988159,-0.23485718667507172,0.26682451367378235,0,2000,strong30k,0,0,42,0.0,0.4,walk
21,0.42,0.0,0.4000000059604645,0.2818814516067505,0.5390926599502563,-0.16905345022678375,-0.23861803114414215,0,2000,strong30k,0,0,42,0.0,0.4,walk
22,0.44,0.0,0.4000000059604645,0.2861520051956177,0.5300272107124329,-0.15576797723770142,-0.7334200143814087,0,2000,strong30k,0,0,42,0.0,0.4,walk
23,0.46,0.0,0.4000000059604645,0.2930670976638794,0.5172359943389893,-0.1420034021139145,-0.8610308766365051,0,2000,strong30k,0,0,42,0.0,0.4,walk
24,0.48,0.0,0.4000000059604645,0.29781997203826904,0.48862674832344055,-0.10841049253940582,-0.480571985244751,0,2000,strong30k,0,0,42,0.0,0.4,walk
25,0.5,0.0,0.4000000059604645,0.2981151342391968,0.4602426588535309,-0.07182440906763077,-0.06668666750192642,0,2000,strong30k,0,0,42,0.0,0.4,walk
26,0.52,0.0,0.4000000059604645,0.29551148414611816,0.4291314482688904,-0.037834230810403824,0.1778443306684494,0,2000,strong30k,0,0,42,0.0,0.4,walk
27,0.54,0.0,0.4000000059604645,0.2896498441696167,0.3895859122276306,-0.006883135065436363,0.46616116166114807,0,2000,strong30k,0,0,42,0.0,0.4,walk
28,0.56,0.0,0.4000000059604645,0.28387653827667236,0.3726319670677185,0.015036557801067829,0.34718504548072815,0,2000,strong30k,0,0,42,0.0,0.4,walk
29,0.58,0.0,0.4000000059604645,0.2782409191131592,0.3555828332901001,0.04287804290652275,0.38630741834640503,0,2000,strong30k,0,0,42,0.0,0.4,walk
30,0.6,0.0,0.4000000059604645,0.27370429039001465,0.35875749588012695,0.06781069189310074,0.28013718128204346,0,2000,strong30k,0,0,42,0.0,0.4,walk
31,0.62,0.0,0.4000000059604645,0.27056729793548584,0.36511746048927307,0.09112557023763657,0.18065853416919708,0,2000,strong30k,0,0,42,0.0,0.4,walk
32,0.64,0.0,0.4000000059604645,0.26839518547058105,0.37187767028808594,0.11205682158470154,0.14823177456855774,0,2000,strong30k,0,0,42,0.0,0.4,walk
33,0.66,0.0,0.4000000059604645,0.2668025493621826,0.3774775266647339,0.13331906497478485,0.13992176949977875,0,2000,strong30k,0,0,42,0.0,0.4,walk
34,0.68,0.0,0.4000000059604645,0.26536083221435547,0.38558050990104675,0.15520571172237396,0.17540371417999268,0,2000,strong30k,0,0,42,0.0,0.4,walk
35,0.7000000000000001,0.0,0.4000000059604645,0.2640368938446045,0.392551451921463,0.1779610961675644,0.19095854461193085,0,2000,strong30k,0,0,42,0.0,0.4,walk
36,0.72,0.0,0.4000000059604645,0.262961745262146,0.40153470635414124,0.2020971179008484,0.19779162108898163,0,2000,strong30k,0,0,42,0.0,0.4,walk
37,0.74,0.0,0.4000000059604645,0.2624928951263428,0.4089827537536621,0.2287713885307312,0.16967374086380005,0,2000,strong30k,0,0,42,0.0,0.4,walk
38,0.76,0.0,0.4000000059604645,0.262554407119751,0.41419386863708496,0.2626970410346985,0.14391563832759857,0,2000,strong30k,0,0,42,0.0,0.4,walk
39,0.78,0.0,0.4000000059604645,0.2627831697463989,0.4141136407852173,0.3041171133518219,0.1283479481935501,0,2000,strong30k,0,0,42,0.0,0.4,walk
40,0.8,0.0,0.4000000059604645,0.26248419284820557,0.4126816391944885,0.35018423199653625,0.14308638870716095,0,2000,strong30k,0,0,42,0.0,0.4,walk
41,0.8200000000000001,0.0,0.4000000059604645,0.2615201473236084,0.41584211587905884,0.3941628932952881,0.18306298553943634,0,2000,strong30k,0,0,42,0.0,0.4,walk
42,0.84,0.0,0.4000000059604645,0.26002466678619385,0.41877004504203796,0.4330981373786926,0.24729837477207184,0,2000,strong30k,0,0,42,0.0,0.4,walk
43,0.86,0.0,0.4000000059604645,0.258447527885437,0.3766941726207733,0.40473106503486633,0.008294419385492802,0,2000,strong30k,0,0,42,0.0,0.4,walk
44,0.88,0.0,0.4000000059604645,0.25932157039642334,0.326483815908432,0.3329041302204132,-0.07668250799179077,0,2000,strong30k,0,0,42,0.0,0.4,walk
45,0.9,0.0,0.4000000059604645,0.2618899345397949,0.2843765616416931,0.28545621037483215,-0.16074001789093018,0,2000,strong30k,0,0,42,0.0,0.4,walk
46,0.92,0.0,0.4000000059604645,0.2645301818847656,0.2478402853012085,0.25186440348625183,-0.06695075333118439,0,2000,strong30k,0,0,42,0.0,0.4,walk
47,0.9400000000000001,0.0,0.4000000059604645,0.26556479930877686,0.22360897064208984,0.2290475070476532,0.14607937633991241,0,2000,strong30k,0,0,42,0.0,0.4,walk
48,0.96,0.0,0.4000000059604645,0.26455914974212646,0.2091471552848816,0.20734117925167084,0.2927144765853882,0,2000,strong30k,0,0,42,0.0,0.4,walk
49,0.98,0.0,0.4000000059604645,0.2635458707809448,0.19380128383636475,0.18221519887447357,0.19594311714172363,0,2000,strong30k,0,0,42,0.0,0.4,walk
50,1.0,0.0,0.4000000059604645,0.26296544075012207,0.18731650710105896,0.1665858030319214,0.1655191332101822,0,2000,strong30k,0,0,42,0.0,0.4,walk
51,1.02,0.0,0.4000000059604645,0.26358747482299805,0.17651589214801788,0.1482488065958023,0.01307770237326622,0,2000,strong30k,0,0,42,0.0,0.4,walk
52,1.04,0.0,0.4000000059604645,0.2639577388763428,0.17665942013263702,0.13727544248104095,0.07329418510198593,0,2000,strong30k,0,0,42,0.0,0.4,walk
53,1.06,0.0,0.4000000059604645,0.2644292116165161,0.16733229160308838,0.12197665870189667,0.019344333559274673,0,2000,strong30k,0,0,42,0.0,0.4,walk
54,1.08,0.0,0.4000000059604645,0.26497089862823486,0.16517122089862823,0.10991666465997696,-0.0080560352653265,0,2000,strong30k,0,0,42,0.0,0.4,walk
55,1.1,0.0,0.4000000059604645,0.26531994342803955,0.16799238324165344,0.10148295760154724,-0.019640695303678513,0,2000,strong30k,0,0,42,0.0,0.4,walk
56,1.12,0.0,0.4000000059604645,0.2656136751174927,0.17240914702415466,0.09271940588951111,-0.051806796342134476,0,2000,strong30k,0,0,42,0.0,0.4,walk
57,1.1400000000000001,0.0,0.4000000059604645,0.26596271991729736,0.17668278515338898,0.08265890181064606,-0.08407630771398544,0,2000,strong30k,0,0,42,0.0,0.4,walk
58,1.16,0.0,0.4000000059604645,0.26632535457611084,0.17912839353084564,0.07194465398788452,-0.10953929275274277,0,2000,strong30k,0,0,42,0.0,0.4,walk
59,1.18,0.0,0.4000000059604645,0.2665550708770752,0.17944498360157013,0.06156028434634209,-0.12069293856620789,0,2000,strong30k,0,0,42,0.0,0.4,walk
60,1.2,0.0,0.4000000059604645,0.2667173147201538,0.17263802886009216,0.049769334495067596,-0.12672393023967743,0,2000,strong30k,0,0,42,0.0,0.4,walk
61,1.22,0.0,0.4000000059604645,0.2666217088699341,0.1622009426355362,0.03755117952823639,-0.1003386527299881,0,2000,strong30k,0,0,42,0.0,0.4,walk
62,1.24,0.0,0.4000000059604645,0.2657318115234375,0.15342944860458374,0.02505277656018734,-0.03457135707139969,0,2000,strong30k,0,0,42,0.0,0.4,walk
63,1.26,0.0,0.4000000059604645,0.2640669345855713,0.1462603062391281,0.011200156062841415,0.025909995660185814,0,2000,strong30k,0,0,42,0.0,0.4,walk
64,1.28,0.0,0.4000000059604645,0.26217782497406006,0.13676781952381134,-0.00199459632858634,0.03261127695441246,0,2000,strong30k,0,0,42,0.0,0.4,walk
65,1.3,0.0,0.4000000059604645,0.2602672576904297,0.12242209166288376,-0.010867715813219547,0.025311172008514404,0,2000,strong30k,0,0,42,0.0,0.4,walk
66,1.32,0.0,0.4000000059604645,0.25861918926239014,0.10394999384880066,-0.010009164921939373,-0.05601165443658829,0,2000,strong30k,0,0,42,0.0,0.4,walk
67,1.34,0.0,0.4000000059604645,0.25913941860198975,0.07265368849039078,0.01825687661767006,-0.10114802420139313,0,2000,strong30k,0,0,42,0.0,0.4,walk
68,1.36,0.0,0.4000000059604645,0.2567359209060669,0.055051784962415695,0.0349288210272789,0.1405438631772995,0,2000,strong30k,0,0,42,0.0,0.4,walk
69,1.3800000000000001,0.0,0.4000000059604645,0.25294172763824463,0.04196932911872864,0.04549024626612663,0.17352403700351715,0,2000,strong30k,0,0,42,0.0,0.4,walk
70,1.4000000000000001,0.0,0.4000000059604645,0.24906396865844727,0.03573567420244217,0.057714857161045074,0.17642958462238312,0,2000,strong30k,0,0,42,0.0,0.4,walk
71,1.42,0.0,0.4000000059604645,0.24552619457244873,0.04120682179927826,0.07096511125564575,0.18510939180850983,0,2000,strong30k,0,0,42,0.0,0.4,walk
72,1.44,0.0,0.4000000059604645,0.24209833145141602,0.055354081094264984,0.08711914718151093,0.20361728966236115,0,2000,strong30k,0,0,42,0.0,0.4,walk
73,1.46,0.0,0.4000000059604645,0.2392733097076416,0.07598906010389328,0.10467412322759628,0.17298583686351776,0,2000,strong30k,0,0,42,0.0,0.4,walk
74,1.48,0.0,0.4000000059604645,0.23693037033081055,0.09933052957057953,0.12378266453742981,0.17143988609313965,0,2000,strong30k,0,0,42,0.0,0.4,walk
75,1.5,0.0,0.4000000059604645,0.23509347438812256,0.12308795750141144,0.14379529654979706,0.1497572660446167,0,2000,strong30k,0,0,42,0.0,0.4,walk
76,1.52,0.0,0.4000000059604645,0.23385632038116455,0.14299553632736206,0.16340185701847076,0.11321233958005905,0,2000,strong30k,0,0,42,0.0,0.4,walk
77,1.54,0.0,0.4000000059604645,0.2331995964050293,0.1627032309770584,0.18410252034664154,0.09334205090999603,0,2000,strong30k,0,0,42,0.0,0.4,walk
78,1.56,0.0,0.4000000059604645,0.23280763626098633,0.18195439875125885,0.20905913412570953,0.10158070921897888,0,2000,strong30k,0,0,42,0.0,0.4,walk
79,1.58,0.0,0.4000000059604645,0.2324080467224121,0.20053191483020782,0.23873823881149292,0.13212257623672485,0,2000,strong30k,0,0,42,0.0,0.4,walk
80,1.6,0.0,0.4000000059604645,0.23188650608062744,0.21734260022640228,0.27174124121665955,0.16515584290027618,0,2000,strong30k,0,0,42,0.0,0.4,walk
81,1.62,0.0,0.4000000059604645,0.23125886917114258,0.23083962500095367,0.30849477648735046,0.18485748767852783,0,2000,strong30k,0,0,42,0.0,0.4,walk
82,1.6400000000000001,0.0,0.4000000059604645,0.2307894229888916,0.23922306299209595,0.3487440347671509,0.1679166853427887,0,2000,strong30k,0,0,42,0.0,0.4,walk
83,1.6600000000000001,0.0,0.4000000059604645,0.23063361644744873,0.24543559551239014,0.39201030135154724,0.15603944659233093,0,2000,strong30k,0,0,42,0.0,0.4,walk
84,1.68,0.0,0.4000000059604645,0.2304598093032837,0.24851630628108978,0.4393594264984131,0.1725640743970871,0,2000,strong30k,0,0,42,0.0,0.4,walk
85,1.7,0.0,0.4000000059604645,0.22959303855895996,0.24805381894111633,0.48928672075271606,0.2499140053987503,0,2000,strong30k,0,0,42,0.0,0.4,walk
86,1.72,0.0,0.4000000059604645,0.2282792329788208,0.24400757253170013,0.5367019176483154,0.2637198269367218,0,2000,strong30k,0,0,42,0.0,0.4,walk
87,1.74,0.0,0.4000000059604645,0.22699403762817383,0.2104780673980713,0.5362063646316528,0.4268571436405182,0,2000,strong30k,0,0,42,0.0,0.4,walk
88,1.76,0.0,0.4000000059604645,0.2253117561340332,0.1756041795015335,0.4439428150653839,0.08515110611915588,0,2000,strong30k,0,0,42,0.0,0.4,walk
89,1.78,0.0,0.4000000059604645,0.22742903232574463,0.14821331202983856,0.380079984664917,-0.07922869175672531,0,2000,strong30k,0,0,42,0.0,0.4,walk
90,1.8,0.0,0.4000000059604645,0.22985506057739258,0.13034284114837646,0.3389040231704712,-0.025603704154491425,0,2000,strong30k,0,0,42,0.0,0.4,walk
91,1.82,0.0,0.4000000059604645,0.23129308223724365,0.12038977444171906,0.3025294542312622,0.07117239385843277,0,2000,strong30k,0,0,42,0.0,0.4,walk
92,1.84,0.0,0.4000000059604645,0.23196327686309814,0.1145036369562149,0.2661013901233673,0.11074165999889374,0,2000,strong30k,0,0,42,0.0,0.4,walk
93,1.86,0.0,0.4000000059604645,0.2327650785446167,0.1113784983754158,0.2297850400209427,0.03708818554878235,0,2000,strong30k,0,0,42,0.0,0.4,walk
94,1.8800000000000001,0.0,0.4000000059604645,0.23395013809204102,0.11713017523288727,0.20327642560005188,-0.012691866606473923,0,2000,strong30k,0,0,42,0.0,0.4,walk
