policy,delay_steps,lin_vel_x,lin_vel_y,fell,rmse_vx,rmse_vy,episode_steps
strong30k,0,0.0,0.4,0,0.1918965516669447,0.3042778701981064,2000
strong30k,0,0.8,0.3,0,0.1157281357247238,0.30343228792108906,2000
strong30k,0,1.0,0.0,0,0.21475167010551893,0.1665032034787711,2000
strong30k,4,0.0,0.4,0,0.18696517722058173,0.29045130315074696,2000
strong30k,4,0.8,0.3,0,0.13555205250590782,0.29933366914420384,2000
strong30k,4,1.0,0.0,0,0.22872830139940226,0.1814706353878889,2000
v2a_u08,0,0.0,0.4,0,0.23619130981643885,0.272881479373742,2000
v2a_u08,0,0.8,0.3,0,0.23727217445944324,0.2854427814348313,2000
v2a_u08,0,1.0,0.0,0,0.37656279627692557,0.16635912756585564,2000
v2a_u08,4,0.0,0.4,0,0.20681624876125584,0.24029133019791632,2000
v2a_u08,4,0.8,0.3,0,0.15974008910680848,0.29100445195961333,2000
v2a_u08,4,1.0,0.0,0,0.2700236805834061,0.17296460804683966,2000
